Ackermannviridae	Aggregaviridae	Aliceevansviridae	Alisviridae	Andersonviridae	Arenbergviridae	Asemoviridae	Assiduviridae	Atkinsviridae	Autolykiviridae	Autonotataviridae	Autoscriptoviridae	Autosignataviridae	Autotranscriptaviridae	Berryhillviridae	Blumeviridae	Casidaviridae	Casjensviridae	Chaseviridae	Chimalliviridae	Colingsworthviridae	Connertonviridae	Corticoviridae	Crevaviridae	Demerecviridae	Drexlerviridae	Duinviridae	Duneviridae	Ehrlichviridae	Epsomviridae	Felixviridae	Fiersviridae	Finnlakeviridae	Forsetiviridae	Fredfastierviridae	Grimontviridae	Guelinviridae	Helgolandviridae	Herelleviridae	Hodgkinviridae	Inoviridae	Intestiviridae	Jeanschmidtviridae	Kleczkowskaviridae	Konodaiviridae	Kruegerviridae	Kyanoviridae	Lakviridae	Lindbergviridae	Ludisviridae	Madridviridae	Matsushitaviridae	Mazoviaviridae	Mestraviridae	Mesyanzhinovviridae	Microviridae	Mktvariviridae	Molycolviridae	Naomviridae	Nixviridae	Obscuriviridae	Orlajensenviridae	Pachyviridae	Parnassusviridae	Paulinoviridae	Peduoviridae	Pervagoviridae	Plasmaviridae	Plectroviridae	Pootjesviridae	Rountreeviridae	Saffermanviridae	Salasmaviridae	Sarkviridae	Schitoviridae	Solspiviridae	Stackebrandtviridae	Stanwilliamsviridae	Steigviridae	Steitzviridae	Straboviridae	Suoliviridae	Tectiviridae	Toyamaviridae	Trautnerviridae	Umezonoviridae	Vandenendeviridae	Vilmaviridae	Winoviridae	Zierdtviridae	Zobellviridae
PHROG_2018				PHROG_4116	PHROG_5496																			PHROG_4258					PHROG_2574													PHROG_11118	PHROG_5890		PHROG_24327	PHROG_485	PHROG_4339					PHROG_19349				PHROG_12715													PHROG_5989								PHROG_11425			PHROG_951										
PHROG_2114				PHROG_4141	PHROG_5614																			PHROG_4263					PHROG_2835													PHROG_11169	PHROG_5995		PHROG_29500	PHROG_488	PHROG_4717					PHROG_19892				PHROG_12967													PHROG_6052								PHROG_11445			PHROG_958										
PHROG_2144				PHROG_4146	PHROG_5680																			PHROG_4328					PHROG_2971													PHROG_11221	PHROG_6730		PHROG_33706	PHROG_495	PHROG_4771					PHROG_20607				PHROG_12974													PHROG_6234								PHROG_11539			PHROG_963										
PHROG_2241				PHROG_4190	PHROG_6266																			PHROG_4379					PHROG_3205													PHROG_11238	PHROG_7076			PHROG_500	PHROG_5614					PHROG_20852				PHROG_13018													PHROG_7775								PHROG_11584			PHROG_964										
PHROG_2319				PHROG_4230	PHROG_6310																			PHROG_4386					PHROG_3339													PHROG_11326	PHROG_7313			PHROG_507	PHROG_5668					PHROG_21294				PHROG_13048													PHROG_8480								PHROG_11627			PHROG_967										
PHROG_2396				PHROG_4251	PHROG_7145																			PHROG_4516					PHROG_3462													PHROG_11328	PHROG_8480			PHROG_512	PHROG_5890					PHROG_22655				PHROG_13063													PHROG_8859								PHROG_11668			PHROG_972										
PHROG_2426				PHROG_4262	PHROG_8995																			PHROG_4551					PHROG_3513													PHROG_11394	PHROG_8980			PHROG_515	PHROG_6743					PHROG_24040				PHROG_13102													PHROG_9677								PHROG_11696			PHROG_977										
PHROG_2488				PHROG_4266	PHROG_9690																			PHROG_4576					PHROG_3532													PHROG_11494	PHROG_9933			PHROG_516	PHROG_6791					PHROG_31511				PHROG_13168													PHROG_9683								PHROG_11807			PHROG_999										
PHROG_2524				PHROG_4277	PHROG_9851																			PHROG_4586					PHROG_3649													PHROG_11549	PHROG_9995			PHROG_522	PHROG_7320									PHROG_13305													PHROG_10745								PHROG_11945			PHROG_1002										
PHROG_2859				PHROG_4318	PHROG_10372																			PHROG_4593					PHROG_3668													PHROG_11583	PHROG_10749			PHROG_529	PHROG_9582									PHROG_13462													PHROG_12275								PHROG_12074			PHROG_1043										
